"OppId","Name","Angelegt","Status","Umsatz","Id"
"6918","#6918 GG25076 & GG25074","2026-06-04","0","309643,5","0e6ad0c4-f45f-f111-a825-000d3ab1871e"
"6918","#6918 GG25076 & GG25074","2026-06-04","0",,"d092b0da-f45f-f111-a826-7c1e52768a0d"
"7141","#7141 6000409722 ","2026-06-04","0",,"0d5c94c2-f45f-f111-a826-000d3ad7f6b1"
"7141","#7141 6000409722 ","2026-06-04","0",,"f02340dd-f45f-f111-a826-000d3ad7f6b1"
"7187","#7187","2026-06-04","0","13974","1d6ad0c4-f45f-f111-a825-000d3ab1871e"
"7187","#7187","2026-06-04","0",,"f22340dd-f45f-f111-a826-000d3ad7f6b1"
"7194","#7194 Anfrage 6 Bauteile","2026-06-04","0",,"201b77c7-f45f-f111-a826-7c1e52768a0d"
"7194","#7194 Anfrage 6 Bauteile","2026-06-04","0",,"f192b0da-f45f-f111-a826-7c1e52768a0d"
"7200","#7200 6000014117","2026-06-04","0",,"231b77c7-f45f-f111-a826-7c1e52768a0d"
"7200","#7200 6000014117","2026-06-04","0","620","f42340dd-f45f-f111-a826-000d3ad7f6b1"
"7201","#7201 6000014118","2026-06-04","0","795","456ad0c4-f45f-f111-a825-000d3ab1871e"
"7201","#7201 6000014118","2026-06-04","0",,"f3f1ade0-f45f-f111-a826-7c1e52768a0d"
"7215","#7215 Riemenscheiben","2026-06-04","0",,"261b77c7-f45f-f111-a826-7c1e52768a0d"
"7215","#7215 Riemenscheiben","2026-06-04","0","25382","f72340dd-f45f-f111-a826-000d3ad7f6b1"
"7217","#7217 RFQC623808","2026-06-04","0",,"926b92ca-f45f-f111-a826-000d3ad7f6b1"
"7217","#7217 RFQC623808","2026-06-04","0",,"f6f1ade0-f45f-f111-a826-7c1e52768a0d"
"7218","#7218 RFQC622965","2026-06-04","0",,"946b92ca-f45f-f111-a826-000d3ad7f6b1"
"7218","#7218 RFQC622965","2026-06-04","0",,"bbc04be3-f45f-f111-a826-000d3ad7f6b1"
"7234","#7234 Seiltasche 16_2-17 (AN 5317)","2026-06-04","0",,"341b77c7-f45f-f111-a826-7c1e52768a0d"
"7234","#7234 Seiltasche 16_2-17 (AN 5317)","2026-06-04","0",,"bdc04be3-f45f-f111-a826-000d3ad7f6b1"
"7239","#7239 2115723723","2026-06-04","0","58356","966b92ca-f45f-f111-a826-000d3ad7f6b1"
"7239","#7239 2115723723","2026-06-04","0",,"c0c04be3-f45f-f111-a826-000d3ad7f6b1"
"7244","#7244 ""SMC OT+UT""","2026-06-04","0",,"a16b92ca-f45f-f111-a826-000d3ad7f6b1"
"7244","#7244 ""SMC OT+UT""","2026-06-04","0",,"c3c04be3-f45f-f111-a826-000d3ad7f6b1"
"7246","#7246 SK1953","2026-06-04","0",,"3b1b77c7-f45f-f111-a826-7c1e52768a0d"
"7246","#7246 SK1953","2026-06-04","0",,"fdf1ade0-f45f-f111-a826-7c1e52768a0d"
"7259","#7259","2026-06-04","0",,"c16371cd-f45f-f111-a826-7c1e52768a0d"
"7259","#7259","2026-06-04","0",,"c9c04be3-f45f-f111-a826-000d3ad7f6b1"
"7260","#7260 2114","2026-06-04","0",,"cd6371cd-f45f-f111-a826-7c1e52768a0d"
"7260","#7260 2114","2026-06-04","0",,"e228ede3-f45f-f111-a825-000d3ab1871e"
"7261","#7261 6000014134","2026-06-04","0","2706","d36371cd-f45f-f111-a826-7c1e52768a0d"
"7261","#7261 6000014134","2026-06-04","0",,"a44333e7-f45f-f111-a826-7c1e52768a0d"
"7262","#7262","2026-06-04","0",,"ba6b92ca-f45f-f111-a826-000d3ad7f6b1"
"7262","#7262","2026-06-04","0",,"a64333e7-f45f-f111-a826-7c1e52768a0d"
"7263","#7263","2026-06-04","0","430595","df30deca-f45f-f111-a825-000d3ab1871e"
"7263","#7263","2026-06-04","0",,"a84333e7-f45f-f111-a826-7c1e52768a0d"
"7264","#7264 Anfrage Querlenker","2026-06-04","0",,"da6371cd-f45f-f111-a826-7c1e52768a0d"
"7264","#7264 Anfrage Querlenker","2026-06-04","0",,"ac4333e7-f45f-f111-a826-7c1e52768a0d"
"7265","#7265","2026-06-04","0",,"e16371cd-f45f-f111-a826-7c1e52768a0d"
"7265","#7265","2026-06-04","0","217041,5","6129ede3-f45f-f111-a825-000d3ab1871e"
"7266","#7266","2026-06-04","0","0","aef041d1-f45f-f111-a825-000d3ab1871e"
"7266","#7266","2026-06-04","0",,"af4333e7-f45f-f111-a826-7c1e52768a0d"
"7267","#7267","2026-06-04","0","101024","b7f041d1-f45f-f111-a825-000d3ab1871e"
"7267","#7267","2026-06-04","0",,"ea8d65e9-f45f-f111-a826-000d3ad7f6b1"
"7270","#7270","2026-06-04","0","2850","caf041d1-f45f-f111-a825-000d3ab1871e"
"7270","#7270","2026-06-04","0",,"138e65e9-f45f-f111-a826-000d3ad7f6b1"
"7271","#7271","2026-06-04","0","188915","d8f041d1-f45f-f111-a825-000d3ab1871e"
"7271","#7271","2026-06-04","0",,"e352fbe9-f45f-f111-a825-000d3ab1871e"
"7273","#7273","2026-06-04","0","69084","fef041d1-f45f-f111-a825-000d3ab1871e"
"7273","#7273","2026-06-04","0",,"b84333e7-f45f-f111-a826-7c1e52768a0d"
"7274","#7274 AD-6 Nova","2026-06-04","0",,"11f141d1-f45f-f111-a825-000d3ab1871e"
"7274","#7274 AD-6 Nova","2026-06-04","0",,"ba4333e7-f45f-f111-a826-7c1e52768a0d"
"7276","#7276","2026-06-04","0","45233,6","568e65e9-f45f-f111-a826-000d3ad7f6b1"
"7277","#7277 550770","2026-06-04","0","0","1aa0f1d0-f45f-f111-a826-000d3ad7f6b1"
"7277","#7277 550770","2026-06-04","0",,"7b8e65e9-f45f-f111-a826-000d3ad7f6b1"
"7279","#7279 Neue Zeichnung Halter TN: 12282976","2026-06-04","0","129758","38f141d1-f45f-f111-a825-000d3ab1871e"
"7279","#7279 Neue Zeichnung Halter TN: 12282976","2026-06-04","0",,"4bdb64ed-f45f-f111-a826-7c1e52768a0d"
"7280","#7280","2026-06-04","0",,"3ff141d1-f45f-f111-a825-000d3ab1871e"
"7280","#7280","2026-06-04","0",,"c08e65e9-f45f-f111-a826-000d3ad7f6b1"
"7281","#7281 Neue Zeichnung Konsole TN: 1234 3775","2026-06-04","0",,"8c63e8d3-f45f-f111-a826-7c1e52768a0d"
"7281","#7281 Neue Zeichnung Konsole TN: 1234 3775","2026-06-04","0",,"f18e65e9-f45f-f111-a826-000d3ad7f6b1"
"7282","#7282","2026-06-04","0","106340","8fbdefd7-f45f-f111-a825-000d3ab1871e"
"7282","#7282","2026-06-04","0",,"4ddb64ed-f45f-f111-a826-7c1e52768a0d"
"7283","#7283 10488","2026-06-04","0",,"4fdb64ed-f45f-f111-a826-7c1e52768a0d"
